Collection Number,Colloquial Name,Family,Genus,Species,Plant Kingdom,Descriptor,Plant Part,Overview Photo,Multicell,Bilobate,Polylobate,Rondel,Crenate,Trapezoid,Cross,Saddle,Acute Bulbosus,Blocky,Bulliform Flabellate,Elongate Entire,Elongate Sinuate,Elongate Dentate,Elongate Dendritic,Spheroid Psilate,Spheroid Echinate,Spheroid Ornate,Papillate,Tracheary,Tracheary Pitted,Tracheary Bordered,Stomata,Cork,Silica Aggregate,Sheet,Bulliform Fusiform ,Bulliform Crenate,Blocky with Ridge,Other,Project Herbarium Specimen,Link to RBG Kew Photo,Project,Author
M162,Round-fruited Rush,Cyperaceae,Juncus ,compressus,Monocotyledon,Rush,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://apps.kew.org/herbcat/detailsQuery.do?imageId=&pageCode=6&presentPage=6&queryId=7&sessionId=1CDF4919B466DF727737D1D716CAFC04&barcode=19104.000,MRes ,Sigrid Osborne
M163,,,,,,,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M164,,,,,,,Inflorescence ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M165,Birch,Betulaceae,Betula,sp.,Eudicot ,Tree,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M166,,,,,,,Twig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M167,,,,,,,Bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M168,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M169,Molinia,Poaceae,Molinia ,caerulea,Monocotyledon,Grass,Leaf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000859981,MRes ,Sigrid Osborne
M170,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M171,,,,,,,Inflorescence,M171.1,"M171.1, M171.2, M171.3, M171.4","M171.1, M171.2",,"M171.1, M171.2",,,,,M171.3,,,,M171.4,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M172,Heather,Ericaceae,Calluna ,vulgaris,Eudicot ,Shrub,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K001419101,MRes ,Sigrid Osborne
M173,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M174,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M175,Crossleaf Heather,Ericaceae,Erica tetralix,Erica tetralix,Eudicot ,Shrub,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K001419102,MRes ,Sigrid Osborne
M176,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M177,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M178,Dorset Heather,Ericaceae,Erica ciliaris,Erica ciliaris,Eudicot ,Shrub,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getHomePageResults.do?homePageSearchText=Erica+ciliaris&x=0&y=0&homePageSearchOption=scientific_name&nameOfSearchPage=home_page,MRes ,Sigrid Osborne
M179,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M180,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M181,Goat Willow,Salicaceae,Salix ,caprea,Eudicot ,Tree,Leaf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000907108,MRes ,Sigrid Osborne
M182,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M183,,,,,,,Bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M184,Dwarf Gorse,Fabaceae,Ulex,minor,Eudicot ,Shrub,Leaf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://apps.kew.org/herbcat/getImage.do?imageBarcode=K000827920,MRes ,Sigrid Osborne
M185,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M186,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M187,European Gorse,Fabaceae,Ulex ,europaeus,Eudicot ,Shrub,Leaf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000893604,MRes ,Sigrid Osborne
M188,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M189,Bristle Bent ,Poaceae,Agrostis ,curtisii,Monocotyledon,Grass,Leaf,,,,,,,,,,,M189.1,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000838146,MRes ,Sigrid Osborne
M190,Bog Myrtle ,Myricaceae,Myrica ,gale,Eudicot ,Shrub,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getHomePageResults.do?homePageSearchText=Myrica+gale&x=0&y=0&homePageSearchOption=scientific_name&nameOfSearchPage=home_page,MRes ,Sigrid Osborne
M191,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M192,,,,,,,Inflorescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M193,Black Bog Rush,Cyperaceae,Schoenus ,nigricans,Monocotyledon,Rush,Stem,M193.1,"M193.1, M193.2, M193.3, M193.4, M193.5, M193.6",,,,,,,,,,,,"M193.1, M193.2, M193.3, M193.6",,,,,,,,,,"M193.1, M193.4, M193.6",,,,,,,,,,MRes ,Sigrid Osborne
M194,,,,,,,Inflorescence ,M194.1,"M194.1, M194.2, M194.3",,,,,,,,,,,,,M194.4,,,,,,M194.4,,,,,,,,,,M194.2,,,MRes ,Sigrid Osborne
M195,Bog Asphodel,Narthesciaceae,Narthecium ,ossifragum,Monocotyledon,Bulb,Root and Tuber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000899985,MRes ,Sigrid Osborne
M196,,,,,,,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M197,Bell Heather  ,Ericaceae,Erica cinerea,Erica cinerea,Eudicot ,Shrub,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getHomePageResults.do?homePageSearchText=Erica+cinerea&x=0&y=0&homePageSearchOption=scientific_name&nameOfSearchPage=home_page,MRes ,Sigrid Osborne
M198,,,,,,,Twig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M199,,,,,,,Inflorescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M200,Heather,Ericaceae,Calluna ,vulgaris,Eudicot ,Shrub,Leaf,M200.1,M200.1,,,,,,,,,,,,,,,,,,M200.3,,,,"M200.1, M200.2",,,,,,,"M200.1, M200.2",,,MRes ,Sigrid Osborne
M201,,,,,,,Twig/Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M202,,,,,,,Inflorescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M203,Common Cotton Grass,Cyperaceae,Eriophorum ,sp.,Monocotyledon,Sedge,Leaf ,M203.1,"M203.1, M203.2, M203.3, M203.4",,,,,,,,,M203.2,,M203.1,,,,M203.4,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M204,Purple Moor Grass,Poaceae,Molinia ,caerulea,Monocotyledon,Grass,Leaf ,M204.1,"M204.1, M204.2, M204.3","M204.1, M204.2",M204.1,,,,,,,,,"M204.1, M204.3",,"M204.1, M204.3",,,,,,,,,M204.2,M204.2,,,,,,,,,MRes ,Sigrid Osborne
M205,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M206,,,,,,,Inflorescence,,"M206.1, M206.2, M206.3",,,,,,,,,M206.1,,M206.2,,"M206.2, M206.3",,,,,,,,,,M206.2,,,,,,,,,MRes ,Sigrid Osborne
M207,Bog Myrtle ,Myriaceae,Myrica gale,Myrica gale,Eudicot ,Shrub,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M208,,,,,,,Twig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M209,,,,,,,Inflorescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M210,Bristle Bent,Poaceae,Agrostis ,curtisii,Monocotyledon,Grass,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M210.1, M210.2, M210.3",,,MRes ,Sigrid Osborne
M211,English Oak (Test),Fagaceae,Quercus,Quercus ,Eudicot ,Tree,Leaf with Galls,,"M211.1, M211.2, M211.3",,,,,,,,,,,,,,,,,,,,,,,,"M211.2, M211.3",,,,,"M211.1, M211.2, M211.3",,,MRes ,Sigrid Osborne
M212,,,,,,,Leaf,M212.1,M212.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M212.1,,,MRes ,Sigrid Osborne
M213,,,,,,,Bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M214,,,,,,,Bark with Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M215,,,,,,,Acorn Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M216,,,,,,,Acorn inside case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
