Collection Number,Colloquial Name,Family,Genus,Species,Plant Kingdom,Descriptor,Plant Part,Overview Photo,Multicell,Bilobate,Polylobate,Rondel,Crenate,Trapezoid,Cross,Saddle,Acute Bulbosus,Blocky,Bulliform Flabellate,Elongate Entire,Elongate Sinuate,Elongate Dentate,Elongate Dendritic,Spheroid Psilate,Spheroid Echinate,Spheroid Ornate,Papillate,Tracheary,Tracheary Pitted,Tracheary Bordered,Stomata,Cork,Silica Aggregate,Sheet,Bulliform Fusiform ,Bulliform Crenate,Blocky with Ridge,Other,Project Herbarium Specimen,Link to RBG Kew Photo,Project,Author
M057,,,,,,,Leaf,,"M057.2, M057.3",,,,,,,,,,,,M057.2,,,,,,,,,,,,M057.1,,,,,,,,MRes ,Sigrid Osborne
M058,,,,,,,Stem ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M059,,,,,,,Node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M060,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M061,Yarrow,Asteraceae,Achillea ,millefolium,Eudicot ,Flowering Plant,Root and Tuber,,"M061.2, M061.8",,,,,,,,,,,"M061.2, M061.8",,,,,,,,,,,,,M061.7,,,,,M061.7,,http://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914454,MRes ,Sigrid Osborne
M062,,,,,,,Leaf ,,"M062.1, M062.2, M062.3, M062.5, M062.6, M062.7",,,,,,,,M062.4,,,"M062.1, M062.2",,,,,,,,,,,,,,,,,,"M062.3, M062.5, M062.6, M062.8",,,MRes ,Sigrid Osborne
M063,,,,,,,Stem ,"M063.1, M063.2","M063.2, M063.3, M063.5",,,,,,,,,,,M063.2,,,,,,,,,,,M063.4,,,,,,,M063.4,,,MRes ,Sigrid Osborne
M064,,,,,,,Flower ,M064.1,"M064.1, M064.2, M064.3, M064.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M064.4, M064.7",,,MRes ,Sigrid Osborne
M065,Yellow Oat Grass,Poaceae,Trisetum ,flavesence,Monocotyledon,Grass,Root,,"M065.1, M065.2, M065.3",,,,,,,,,M065.3,,"M065.1, M065.2, M065.3",,,,,,,,,,,,,,,,,,,,http://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914526,MRes ,Sigrid Osborne
M066,,,,,,,Leaf,M066.1,"M066.2, M066.4",M066.7,,,,,,,"M066.1, M066.4",,,"M066.1, M066.2, M066.3",,,,,,,,,,,,,,M066.1,,,M066.6,,,,MRes ,Sigrid Osborne
M067,,,,,,,Collar,,"M067.4, M067.6",,,"M067.4, M067.5",,,,,,,,M067.6,,,,,,,,,,,"M067.4, M067.5","M067.4, M067.5",,,,,,,,,MRes ,Sigrid Osborne
M068,,,,,,,Internode,M068.1,"M068.1, M068.3",,,,,,,,M068.2,M068.6,,M068.4,,,,,,,,,,,,M068.6,,,,,,M068.6,,,MRes ,Sigrid Osborne
M069,,,,,,,Node,M069.1,"M069.1, M069.2",,,,,,,,,,M069.3,M069.2,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M070,,,,,,,Spikelet,M070.1,"M070.1, M070.2, M070.3, M070.4",,,,,,,,"M070.2, M070.3",,,M070.3,M070.2,,,,,,"M070.2, M070.4",,,,,M070.2,,,,,,,,,MRes ,Sigrid Osborne
M071,Bracken,Dennstaedtiaceae,Pteridium,sp.,Pteridophyta,Fern,Stem,M071.1,"M071.1, M071.2, M071.5",,,,,,,,,"M071.2, M071.3",,"M071.2, M071.3, M071.5",,M071.3,,,,,,,,,,,,,,,,M071.2,,http://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914002,MRes ,Sigrid Osborne
M072,,,,,,,Font ,,"M072.1, M072.3",,,,,,,,,M072.2,,,M072.3,,,,,,,,,,,,,,,,,M072.3,,,MRes ,Sigrid Osborne
M073,Dandelion,Asteraceae,Taraxacum ,officinale,Eudicot ,Flowering Plant,Root,,M073.1,,,,,,,,,,,M073.2,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914431,MRes ,Sigrid Osborne
M074,,,,,,,Leaf ,,,,,,,,,,,,,,,,,,,,,,,,,,M074.4,,,,,,,,MRes ,Sigrid Osborne
M075,,,,,,,Flower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M076,,,,,,,Stem ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M077,,,,,,,Tuber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M078,Mouse-ear Chickweed,Caryophyllacea,Cerastium ,fontanum,Eudicot ,Flowering Plant,Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914074,MRes ,Sigrid Osborne
M079,,,,,,,Stem ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M080,,,,,,,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M081,,,,,,,Flower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M082,Bramble ,Rosaceae,Rubus ,sp.,Eudicot ,Flowering Plant,Leaf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/detailsQuery.do?imageId=&pageCode=1&presentPage=1&queryId=1&sessionId=583414BC2E41B80734E18B2278D73417&barcode=29932.000,MRes ,Sigrid Osborne
M083,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M084,,,,,,,Thorns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M085,,,,,,,Fruit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M086,Cow Parsley,Apiaceae,Anthriscus ,sylvestris,Eudicot ,Flowering Plant,Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914283,MRes ,Sigrid Osborne
M087,,,,,,,Stem ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M088,,,,,,,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M089,,,,,,,Tuber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M090,Creeping Thistle,Asteraceae,Cirsium ,arvense,Eudicot ,Flowering Plant,Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914403,MRes ,Sigrid Osborne
M091,,,,,,,Leaf,M091.1,"M091.1, M091.2, M091.3, M091.4, M091.5, M091.9",,,,,,,,,"M091.3, M091.4",,M091.4,,,,,,,,M091.7,,,M091.6,,,,,,,,,,MRes ,Sigrid Osborne
M092,,,,,,,Stem,,M092.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M092.1, M092.2",,,MRes ,Sigrid Osborne
M093,Viper's Bugloss,Boraginaceae,Echium ,vulgare,Eudicot ,Flowering Plant,Root,M093.1,,,,,,,,,,,,,,,,,,,,,,,,,M093.1,,,,,M093.1,,http://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914313,MRes ,Sigrid Osborne
M094,,,,,,,Leaf,M094.1,"M094.1, M094.2, M094.3, M094.4",,,,,,,,M094.5,,,,,,,,,,,,,,M094.6,,,,,M094.2,,"M094.1, M094.2, M094.4",,,MRes ,Sigrid Osborne
M095,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M096,,,,,,,Node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M097,Celtic Bean,Leguminosae,Vicia ,faba,Eudicot ,Crop,Leaf ,M097.10.3,"M097.10.3, M097.14.5, M097.15",,,,,,,,,M097.2,,,,,,,,,,,,,,,"M097.8.3, M097.9.4",,,,,M097.6,,https://apps.kew.org/herbcat/getHomePageResults.do?homePageSearchText=Vicia+faba&x=0&y=0&homePageSearchOption=scientific_name&nameOfSearchPage=home_page,MRes ,Sigrid Osborne
M098,,,,,,,Stem,,,,,,,,,,,,,M098.2,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M099,,,,,,,Bean pod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M100,,,,,,,Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M101,Walnut Tree,Juglandaceae,Juglans,sp.,Eudicot ,Tree,Leaf,,"M101.1, M101.2, M101.3, M101.4, M101.5",,,,,,,,,,M101.2,M101.3,,,,,,,,,,,,,,,,,,"M101.1, M101.2, M101.4, M101.5",,https://apps.kew.org/herbcat/getHomePageResults.do?homePageSearchText=Juglans&x=0&y=0&homePageSearchOption=scientific_name&nameOfSearchPage=home_page,MRes ,Sigrid Osborne
M102,,,,,,,Leaf Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M103,,,,,,,Bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M104,,,,,,,Twig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M105,English Oak ,Fagaceae,Quercus,robur,Eudicot ,Tree,Leaf,M105.1,"M105.1, M105.2, M105.3, M105.4",,,,,,,,,,,"M105.5.1, M105.5.2",,"M105.5.1, M105.5.2",,,,,,,,,,,,,,,,"M105.1, M105.2, M105.3, M105.4",,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K001272895,MRes ,Sigrid Osborne
M106,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M107,,,,,,,Bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M108,,,,,,,Acorn case,,"M108.1, M108.2, M108.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M108.1, M108.2, M108.3",,,MRes ,Sigrid Osborne
M109,,,,,,,Acorn rind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M110,Blackthorn,Rosaceae,Prunus ,spinosa,Eudicot ,Tree,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/detailsQuery.do?imageId=&pageCode=1&presentPage=1&queryId=1&sessionId=585E8BD8C14AD8954835D1B787286EED&barcode=16081.000,MRes ,Sigrid Osborne
M111,,,,,,,Twig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M112,,,,,,,Bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M113,Holly,Aquifoliacea,Ilex ,sp.,Eudicot ,Tree,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getHomePageResults.do?homePageSearchText=Ilex&x=0&y=0&homePageSearchOption=scientific_name&nameOfSearchPage=home_page,MRes ,Sigrid Osborne
M114,,,,,,,Bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M115,,,,,,,Twig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M116,Trailing St John's Wort,Guttiferae,Hypericum ,humifisum,Eudicot ,Flowering Plant,Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M117,,,,,,,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M118,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M119,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M120,,,,,,,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M121,Buttercup,Ranunculaceae,Ranunculus repens,Ranunculus repens,Eudicot ,Flowering Plant,Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914018,MRes ,Sigrid Osborne
M122,,,,,,,Leaf,M122.1,"M122.1, M122.3, M122.4, M122.5",,,,,,,,M122.2,,,,,,,,,,M122.6,,,,,,,,,,,"M122.1, M122.3, M122.4, M122.5",,,MRes ,Sigrid Osborne
M123,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M124,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M125,Sheeps's Sorrel,Polygonaceae,Rumex ,acetosella,Eudicot ,Flowering Plant,Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914103,MRes ,Sigrid Osborne
M126,,,,,,,Leaf,,M126.3,,,,,,,,,,,,,,,M126.3,,,,,,,,,"M126.1, M126.2, M126.4",,,,,,,,MRes ,Sigrid Osborne
M127,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M128,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M129,Stinking Chamomile,Asteraceae,Anthemis ,cotula,Eudicot ,Flowering Plant,Root,,M129.1,,,,,,,,,"M129.2, M129.3",,M129.1,,,,,,,,,,,,,M129.1,,M129.2,,,M129.2,,https://apps.kew.org/herbcat/getImage.do?imageBarcode=K000978116,MRes ,Sigrid Osborne
M130,,,,,,,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M131,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M132,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
